issuer_ticker,name,asset_class,weight_percent,price,nominal,market_value,notional_value,sector,isin,exchange,location,market_currency,fund_name,LEI
CRM,SALESFORCE.COM INC,Equity,0.42,260.36,717226,186736961.36,186736961.36,Information Technology,US79466L3024,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,RCGZFPDMRW58VJ54VR07
PFE,PFIZER INC,Equity,0.41,44.47,4099936,182324153.92,182324153.92,Health Care,US7170811035,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,765LHXWGK1KXCLTFYQ30
CSCO,CISCO SYSTEMS INC,Equity,0.4,57.33,3112561,178443122.13,178443122.13,Information Technology,US17275R1023,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300LKFJ962MZ46593
XOM,EXXON MOBIL CORP,Equity,0.39,55.82,3130715,174756511.3,174756511.3,Energy,US30231G1022,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,J3WHBG0MTS7O8ZVMDC91
WMT,WALMART INC,Equity,0.37,145.03,1148738,166601472.14,166601472.14,Consumer Staples,US9311421039,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,Y87794H0US1R65VBXU25
KO,COCA-COLA,Equity,0.37,55.349999999999994,3008869,166540899.15,166540899.15,Consumer Staples,US1912161007,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,UWJKFUJFZ02DKWI3RY53
ABT,ABBOTT LABORATORIES,Equity,0.37,127.44,1301045,165805174.8,165805174.8,Health Care,US0028241000,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,HQD377W2YR662HK5JX27
VZ,VERIZON COMMUNICATIONS INC,Equity,0.37,54.43,3036334,165267659.62,165267659.62,Communication,US92343V1044,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,2S72QS2UO2OESLG6Y829
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.37,560.4399999999999,290944,163056655.36,163056655.36,Health Care,US8835561023,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,HCHV7422L5HDJZCRFL38
INTC,INTEL CORPORATION CORP,Equity,0.36,54.83,2939310,161162367.3,161162367.3,Information Technology,US4581401001,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,KNX4USFCNGPY45LOCE31
PEP,PEPSICO INC,Equity,0.36,155.56,1023866,159272594.96,159272594.96,Consumer Staples,US7134481081,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,FJSUNZKFNQ5YPJ5OT455
DHR,DANAHER CORP,Equity,0.35,324,474459,153724716,153724716,Health Care,US2358511028,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,S4BKK9OTCEWQ3YHPFM11
MC,LVMH,Equity,0.34,738.75,206373,152457599.73,152457599.73,Consumer Discretionary,FR0000121014,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,IOG4E947OATN0KJYSD45
AVGO,BROADCOM INC,Equity,0.34,507.35,297980,151180153,151180153,Information Technology,US11135F1012,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300WV6GIDOZJTV909
COST,COSTCO WHOLESALE CORP,Equity,0.34,463.31,322684,149502724.04,149502724.04,Consumer Staples,US22160K1051,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,29DX7H14B9S6O3FD6V18
NKE,NIKE INC CLASS B,Equity,0.33,157.6,938719,147942114.4,147942114.4,Consumer Discretionary,US6541061031,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,787RXPR0UX0O0XUXPZ81
T,AT&T INC,Equity,0.33,27.6,5262984,145258358.4,145258358.4,Communication,US00206R1023,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300Z40J86GGSTL398
WFC,WELLS FARGO,Equity,0.32,46.28,3052053,141249012.84,141249012.84,Financials,US9497461015,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,PBLD0EJDB5FWOLXP3B76
7203,TOYOTA MOTOR CORP,Equity,0.32,90.65,1545800,140129977.2,140129977.2,Consumer Discretionary,JP3633400001,Tokyo Stock Exchange,Japan,JPY,iShares Core MSCI World UCITS ETF,5493006W3QUS5LMH6R84
ABBV,ABBVIE INC,Equity,0.31,108.08,1290517,139479077.36,139479077.36,Health Care,US00287Y1091,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,FR5LCKFTG8054YNNRU85
LLY,ELI LILLY,Equity,0.31,231.04,599543,138518414.72,138518414.72,Health Care,US5324571083,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,FRDRIPF3EKNDJ2CQJL29
NOVN,NOVARTIS AG,Equity,0.31,84.16999999999999,1634131,137550617.16,137550617.16,Health Care,CH0012005267,SIX Swiss Exchange,Switzerland,CHF,iShares Core MSCI World UCITS ETF,5493007HIVTX6SY6XD66
MRK,MERCK & CO INC,Equity,0.3,71.97,1868734,134492785.98000002,134492785.98000002,Health Care,US58933Y1055,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,MZK1AT00SJV4XB7WNL71
MCD,MCDONALDS CORP,Equity,0.3,243.21,551776,134197440.96,134197440.96,Consumer Discretionary,US5801351017,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,UE2136O97NLB5BYP9H04
TXN,TEXAS INSTRUMENT INC,Equity,0.3,196.82,669563,131783389.66,131783389.66,Information Technology,US8825081040,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,WDJNR2L6D8RWOEB8T652
AZN,ASTRAZENECA PLC,Equity,0.29,112.1,1162306,130296327.42,130296327.42,Health Care,GB0009895292,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,PY6ZZQWO2IZFZC3IOL08
ORCL,ORACLE CORP,Equity,0.27,87.25,1401300,122263425,122263425,Information Technology,US68389X1054,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,1Z4GXXU7ZHVWFCD8TV52
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.26,102.83,1144039,117641530.37,117641530.37,Consumer Staples,US7181721090,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,HL3H1H2BGXWVG3BSWR90
QCOM,QUALCOMM INC,Equity,0.26,138.4,838732,116080508.8,116080508.8,Information Technology,US7475251036,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,H1J8DDZKZP6H7RWC0H53
INTU,INTUIT INC,Equity,0.26,572.88,202168,115818003.84,115818003.84,Information Technology,US4612021034,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,VI90HBPH7XSFMB9E4M29
HON,HONEYWELL INTERNATIONAL INC,Equity,0.26,219.65,520134,114247433.1,114247433.1,Industrials,US4385161066,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,ISRPG12PN4EIEOEMW547
MRNA,MODERNA INC,Equity,0.25,440.65,251247,110711990.55,110711990.55,Health Care,US60770K1079,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300EI6OKH5K5Q2G38
SAP,SAP,Equity,0.25,144.1,761187,109689235.11,109689235.11,Information Technology,DE0007164600,Xetra,Germany,EUR,iShares Core MSCI World UCITS ETF,529900D6BF99LW9R2E68
LOW,LOWES COMPANIES INC,Equity,0.24,208.48,517937,107979505.76,107979505.76,Consumer Discretionary,US5486611073,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,WAFCR4OKGSC504WU3E95
C,CITIGROUP INC,Equity,0.24,70,1523686,106658020,106658020,Financials,US1729674242,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,6SHGI4ZSSLCXXQSBB395
MS,MORGAN STANLEY,Equity,0.24,102.47,1038611,106426469.17,106426469.17,Financials,US6174464486,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,IGJSJL3JD5P30I6NJZ34
ULVR,UNILEVER PLC,Equity,0.24,54.34,1951630,106044587.36,106044587.36,Consumer Staples,GB00B10RZP78,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,549300MKFYEKVRWML317
6758,SONY GROUP CORP,Equity,0.23,111.9,918698,102803688.65,102803688.65,Consumer Discretionary,JP3435000009,Tokyo Stock Exchange,Japan,JPY,iShares Core MSCI World UCITS ETF,529900R5WX9N2OI2N910
BMY,BRISTOL MYERS SQUIBB,Equity,0.23,61.23,1678421,102769717.83,102769717.83,Health Care,US1101221083,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,HLYYNH7UQUORYSJQCN42
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.23,192.97,531236,102512610.92,102512610.92,Industrials,US9113121068,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,D01LMJZU09ULLNCY6Z23
UNP,UNION PACIFIC CORP,Equity,0.23,203.44,500776,101877869.44,101877869.44,Industrials,US9078181081,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300LMMRSZZCZ8CL11
GS,GOLDMAN SACHS GROUP INC,Equity,0.23,396.68,253823,100686507.64,100686507.64,Financials,US38141G1040,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,784F5XWPLTWKTBV3E584
BLK,BLACKROCK INC,Equity,0.22,890.4399999999999,111646,99414064.24,99414064.24,Financials,US09247X1019,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300LRIF3NWCU26A80
SBUX,STARBUCKS CORP,Equity,0.22,114.67,866581,99370843.27,99370843.27,Consumer Discretionary,US8552441094,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,OQSJ1DU9TAOC51A47K68
AMAT,APPLIED MATERIAL INC,Equity,0.22,144.09,684735,98663466.15,98663466.15,Information Technology,US0382221051,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,41BNNE1AFPNAZELZ6K07
SIE,SIEMENS N AG,Equity,0.22,176.19,557158,98167731.18,98167731.18,Industrials,DE0007236101,Xetra,Germany,EUR,iShares Core MSCI World UCITS ETF,W38RGI023J3WT1HWRP32
NOW,SERVICENOW INC,Equity,0.22,656.3499999999999,145885,95751619.75,95751619.75,Information Technology,US81762P1021,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300HJTQM36M0E1G39
AMD,ADVANCED MICRO DEVICES INC,Equity,0.21,106.22,895382,95107476.04,95107476.04,Information Technology,US0079031078,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,R2I72C950HOYXII45366
RTX,RAYTHEON TECHNOLOGIES CORP,Equity,0.21,84.02,1114212,93616092.24,93616092.24,Industrials,US75513E1010,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,I07WOS4YJ0N7YRFE7309
6861,KEYENCE CORP,Equity,0.21,666.48,139004,92643979.21,92643979.21,Information Technology,JP3236200006,Tokyo Stock Exchange,Japan,JPY,iShares Core MSCI World UCITS ETF,529900M7PQBS7A89DZ11
ISRG,INTUITIVE SURGICAL INC,Equity,0.21,1034.01,89470,92512874.7,92512874.7,Health Care,US46120E6023,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,54930052SRG011710797
AMGN,AMGEN INC,Equity,0.2,217.36,415490,90310906.4,90310906.4,Health Care,US0311621009,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,62QBXGPJ34PQ72Z12S66
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.2,136.43,649556,88618925.08,88618925.08,Information Technology,US4592001014,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,VGRQXHF3J8VDLUA7XE92
TGT,TARGET CORP,Equity,0.2,246.95,357669,88326359.55,88326359.55,Consumer Discretionary,US87612E1064,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,8WDDFXB5T1Z6J0XC1L66
BA,BOEING,Equity,0.2,213.36,408950,87253572,87253572,Industrials,US0970231058,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,RVHJWBXLJ1RFUBSY1F30
OR,LOREAL SA,Equity,0.19,450.89,186976,84306535.11,84306535.11,Consumer Staples,FR0000120321,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,529900JI1GG6F7RKVI53
DGE,DIAGEO PLC,Equity,0.19,47.74,1744697,83292864.14999999,83292864.14999999,Consumer Staples,GB0002374006,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,213800ZVIELEA55JMJ32
TTE,TOTALENERGIES,Equity,0.19,45.55,1810861,82481589.38,82481589.38,Energy,FR0000120271,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,529900S21EQ1BO4ESM68
AXP,AMERICAN EXPRESS,Equity,0.19,162.63,506505,82372908.14999999,82372908.14999999,Financials,US0258161092,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,R4PP93JZOLY261QX3811
CAT,CATERPILLAR INC,Equity,0.18,203.6,402729,81995624.4,81995624.4,Industrials,US1491231015,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,WRJR7GS4GTRECRRTVX92
SPGI,S&P GLOBAL INC,Equity,0.18,454.05,180340,81883377,81883377,Financials,US78409V1044,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,Y6X4K52KMJMZE7I7MY94
GE,GENERAL ELECTRIC,Equity,0.18,101.34,807354,81817254.36,81817254.36,Industrials,US3696043013,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,3C7474T6CDKPR9K6YT90
CVS,CVS HEALTH CORP,Equity,0.18,85.35,954292,81448822.2,81448822.2,Health Care,US1266501006,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300EJG376EN5NQE29
SAN,SANOFI SA,Equity,0.18,96.07,829863,79727016.8,79727016.8,Health Care,FR0000120578,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,549300E9PC51EN656011
DE,DEERE,Equity,0.18,355.33,221251,78617117.83,78617117.83,Industrials,US2441991054,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,PWFTNG3EI0Y73OXWDH08
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.17,765.24,100152,76640316.48,76640316.48,Communication,US16119P1084,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,0J0XRGZE3PBRFEZ7MV65
MMM,3M,Equity,0.17,182.66,417008,76170681.28,76170681.28,Industrials,US88579Y1010,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,LUZQVYP4VS22CLWDAR65
SCHW,CHARLES SCHWAB CORP,Equity,0.17,70.78,1065441,75411913.98,75411913.98,Financials,US8085131055,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300VSGCJ7E698NM85
SQ,SQUARE INC CLASS A,Equity,0.17,255.09,287787,73411585.83,73411585.83,Information Technology,US8522341036,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300OHIIUWSTIZME52
SU,SCHNEIDER ELECTRIC,Equity,0.16,184.97,387224,71624542.16,71624542.16,Industrials,FR0000121972,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,969500A1YF1XUYYXS284
GSK,GLAXOSMITHKLINE PLC,Equity,0.16,19.21,3700355,71080674.25,71080674.25,Health Care,GB0009252882,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,5493000HZTVUYLO1D793
ADI,ANALOG DEVICES INC,Equity,0.16,173.20999999999998,404958,70142775.17999999,70142775.17999999,Information Technology,US0326541051,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,GYVOE5EZ4GDAVTU4CQ61
ZTS,ZOETIS INC CLASS A,Equity,0.16,202.77,344799,69914893.23,69914893.23,Health Care,US98978V1035,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300HD9Q1LOC9KLJ48
BKNG,BOOKING HOLDINGS INC,Equity,0.16,2345,29567,69334615,69334615,Consumer Discretionary,US09857L1089,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,FXM8FAOHMYDIPD38UZ17
ANTM,ANTHEM INC,Equity,0.16,374.94,184132,69038452.08,69038452.08,Health Care,US0367521038,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,8MYN82XMYQH89CTMTH67
ALV,ALLIANZ,Equity,0.15,226.33,300263,67958446.72,67958446.72,Financials,DE0008404005,Xetra,Germany,EUR,iShares Core MSCI World UCITS ETF,529900K9B0N5BT694847
SYK,STRYKER CORP,Equity,0.15,276.11,244647,67549483.16999999,67549483.16999999,Health Care,US8636671013,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,5493002F0SC4JTBU5137
GILD,GILEAD SCIENCES INC,Equity,0.15,71.33,935929,66759815.57,66759815.57,Health Care,US3755581036,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300WTZWR07K8MNV44
MO,ALTRIA GROUP INC,Equity,0.15,48.790000000000006,1352029,65965494.91,65965494.91,Consumer Staples,US02209S1033,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,XSGZFLO9YTNO9VCQV219
LRCX,LAM RESEARCH CORP,Equity,0.15,615.8499999999999,105826,65172942.1,65172942.1,Information Technology,US5128071082,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300I4GMO6D34U1T02
6098,RECRUIT HOLDINGS LTD,Equity,0.14,63.41,1011500,64140077.52,64140077.52,Industrials,JP3970300004,Tokyo Stock Exchange,Japan,JPY,iShares Core MSCI World UCITS ETF,353800R2LRSMVVC4I806
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.14,60.71,1054481,64017541.51,64017541.51,Consumer Staples,US6092071058,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300DV9GIB88LZ5P30
LMT,LOCKHEED MARTIN CORP,Equity,0.14,341.5,185510,63351665,63351665,Industrials,US5398301094,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,DPRBOZP0K5RM2YE8UU08
TJX,TJX INC,Equity,0.14,70.48,894617,63052606.16,63052606.16,Consumer Discretionary,US8725401090,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,V167QI9I69W364E2DY52
BP.,BP PLC,Equity,0.14,4.21,14857682,62594396.51,62594396.51,Energy,GB0007980591,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,213800LH1BZH3DI6G760
MELI,MERCADOLIBRE INC,Equity,0.14,1881.35,32824,61753432.4,61753432.4,Consumer Discretionary,US58733R1023,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300DKPDN9M5S8GB14
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.14,198.4,310904,61683353.6,61683353.6,Information Technology,US0530151036,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,HGBOLILQXWER4SAL2I23
CB,CHUBB LTD,Equity,0.14,181.14,340224,61628175.36,61628175.36,Financials,CH0044328745,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,E0JAN6VLUDI1HITHT809
COP,CONOCOPHILLIPS,Equity,0.14,59.23,1035713,61345280.99,61345280.99,Energy,US20825C1045,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,WPTL2Z3FIYTHSP5V2253
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.14,189.22,323187,61153444.14,61153444.14,Real Estate,US22822V1017,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,54930012H97VSM0I2R19
MU,MICRON TECHNOLOGY INC,Equity,0.14,74.63,817486,61008980.18,61008980.18,Information Technology,US5951121038,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,B3DXGBC8GAIYWI2Z0172
RDSA,ROYAL DUTCH SHELL PLC,Equity,0.14,20.16,3015869,60806053.32,60806053.32,Energy,GB00B03MLX29,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,21380068P1DRHMJ8KU70
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Equity,0.14,173.86,348672,60621693.4,60621693.4,Materials,FR0000120073,Nyse Euronext - Euronext Paris,France,EUR,iShares Core MSCI World UCITS ETF,969500MMPQVHK671GT54
USB,US BANCORP,Equity,0.14,57.1,1054525,60213377.5,60213377.5,Financials,US9029733048,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,N1GZ7BBF3NP8GI976H15
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.14,189.9,316500,60103350,60103350,Financials,US6934751057,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,CFGNEKW0P8842LEUIA51
MMC,MARSH & MCLENNAN INC,Equity,0.13,158.22,375513,59413666.86,59413666.86,Financials,US5717481023,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300XMP3KDCKJXIU47
TMUS,T MOBILE US INC,Equity,0.13,128.91,459041,59174975.309999995,59174975.309999995,Communication,US8725901040,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300QHIJYOHPACPG31
RIO,RIO TINTO PLC,Equity,0.13,68.99000000000001,856491,59087344.16,59087344.16,Materials,GB0007188757,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,213800YOEO5OQ72G2R82
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.13,36.68,1610796,59078190.36,59078190.36,Consumer Staples,GB0002875804,London Stock Exchange,United Kingdom,GBP,iShares Core MSCI World UCITS ETF,213800FKA5MF17RJKT63
BDX,BECTON DICKINSON,Equity,0.13,262.67,221583,58203206.61,58203206.61,Health Care,US0758871091,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,ICE2EP6D98PQUILVRZ91
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.13,125.4,459369,57604872.6,57604872.6,Information Technology,US31620M1062,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,6WQI0GK1PRFVBA061U48
DUK,DUKE ENERGY CORP,Equity,0.13,101.41,568001,57600981.41,57600981.41,Utilities,US26441C2044,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,I1BZKREC126H0VB1BL91
